city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Klaipėda,Klaipeda,55.7204,21.1199,Lithuania,LT,LTU,Klaipėdos Miestas,admin,192307,1440897790
Palanga,Palanga,55.9203,21.0710,Lithuania,LT,LTU,Palangos Miestas,admin,,1440868798
Nida,Nida,55.3086,20.9965,Lithuania,LT,LTU,Neringa,admin,,1440271703
Kretinga,Kretinga,55.8888,21.2445,Lithuania,LT,LTU,Kretinga,admin,,1440720895
Tauragė,Taurage,55.2522,22.2897,Lithuania,LT,LTU,Tauragė,admin,,1440115384
Šilutė,Silute,55.3453,21.4733,Lithuania,LT,LTU,Šilutė,admin,,1440568024
Rietavas,Rietavas,55.7271,21.9234,Lithuania,LT,LTU,Rietavo,admin,,1440780088
Plungė,Plunge,55.9077,21.8456,Lithuania,LT,LTU,Plungė,admin,,1440542185
Šilalė,Silale,55.4898,22.1869,Lithuania,LT,LTU,Šilalė,admin,,1440106904
Visaginas,Visaginas,55.5968,26.4398,Lithuania,LT,LTU,Visaginas,admin,,1440984232
Zarasai,Zarasai,55.7322,26.2512,Lithuania,LT,LTU,Zarasai,admin,,1440450872
Ignalina,Ignalina,55.3406,26.1605,Lithuania,LT,LTU,Ignalina,admin,,1440789779
Utena,Utena,55.4976,25.5992,Lithuania,LT,LTU,Utena,admin,,1440298742
Švenčionys,Svencionys,55.1330,26.1595,Lithuania,LT,LTU,Švenčionys,admin,,1440170338
Rokiškis,Rokiskis,55.9587,25.5947,Lithuania,LT,LTU,Rokiškis,admin,,1440918695
Molėtai,Moletai,55.2247,25.4169,Lithuania,LT,LTU,Molėtai,admin,,1440110307
Šalčininkai,Salcininkai,54.3086,25.3868,Lithuania,LT,LTU,Šalčininkai,admin,,1440401402
Vilnius,Vilnius,54.6834,25.3166,Lithuania,LT,LTU,Vilniaus Miestas,primary,542366,1440887149
Kupiškis,Kupiskis,55.8401,24.9803,Lithuania,LT,LTU,Kupiškis,admin,,1440122297
Trakai,Trakai,54.6399,24.9360,Lithuania,LT,LTU,Trakai,admin,,1440324561
Biržai,Birzai,56.1986,24.7521,Lithuania,LT,LTU,Biržai,admin,,1440132489
Anykščiai,Anyksciai,55.5246,25.1066,Lithuania,LT,LTU,Anykščiai,admin,,1440174702
Telšiai,Telsiai,55.9831,22.2343,Lithuania,LT,LTU,Telšiai,admin,,1440908000
Kelmė,Kelme,55.6301,22.9349,Lithuania,LT,LTU,Kelmė,admin,,1440476751
Marijampolė,Marijampole,54.5599,23.3541,Lithuania,LT,LTU,Marijampolė,admin,,1440180524
Lazdijai,Lazdijai,54.2333,23.5147,Lithuania,LT,LTU,Lazdijai,admin,,1440584882
Šakiai,Sakiai,54.9534,23.0478,Lithuania,LT,LTU,Šakiai,admin,,1440362808
Radviliškis,Radviliskis,55.8111,23.5411,Lithuania,LT,LTU,Radviliškis,admin,,1440712589
Šiauliai,Siauliai,55.9386,23.3250,Lithuania,LT,LTU,Šiaulių Miestas,admin,133528,1440593416
Birštonas,Birstonas,54.6048,24.0311,Lithuania,LT,LTU,Birštono,admin,,1440134144
Druskininkai,Druskininkai,54.0157,23.9870,Lithuania,LT,LTU,Druskininkai,admin,,1440489111
Kėdainiai,Kedainiai,55.2878,23.9727,Lithuania,LT,LTU,Kėdainiai,admin,,1440351434
Alytus,Alytus,54.3964,24.0414,Lithuania,LT,LTU,Alytaus Miestas,admin,,1440273296
Prienai,Prienai,54.6360,23.9458,Lithuania,LT,LTU,Prienai,admin,,1440412268
Elektrėnai,Elektrenai,54.7863,24.6626,Lithuania,LT,LTU,Elektrénai,admin,,1440272776
Kaunas,Kaunas,54.9504,23.8800,Lithuania,LT,LTU,Kauno Miestas,admin,374643,1440302852
Jonava,Jonava,55.0801,24.2754,Lithuania,LT,LTU,Jonava,admin,,1440040612
Kaišiadorys,Kaisiadorys,54.8653,24.4682,Lithuania,LT,LTU,Kaišiadorys,admin,,1440257941
Panevežys,Panevezys,55.7400,24.3700,Lithuania,LT,LTU,Panevėžio Miestas,admin,127405,1440120065
Joniškis,Joniskis,56.2394,23.6154,Lithuania,LT,LTU,Joniškis,admin,,1440592411
Kazlų Rūda,Kazlu Ruda,54.7497,23.4950,Lithuania,LT,LTU,Kazlų Rūdos,admin,,1440371651
Vilkaviškis,Vilkaviskis,54.6480,23.0305,Lithuania,LT,LTU,Vilkaviškis,admin,,1440557692
Pasvalys,Pasvalys,56.0625,24.3997,Lithuania,LT,LTU,Pasvalys,admin,,1440957197
